start_article_title,starter_article_url,selection_strat,hops_to_phil
List of colonial governors in 1703,https://en.wikipedia.org/wiki/List_of_colonial_governors_in_1703,EMBEDDING_WORD2VEC,6

John Cameron (anatomist),https://en.wikipedia.org/wiki/John_Cameron_(anatomist),WORDNET,9

John Cameron (anatomist),https://en.wikipedia.org/wiki/John_Cameron_(anatomist),NTH_LINK(1),18

John Cameron (anatomist),https://en.wikipedia.org/wiki/John_Cameron_(anatomist),EMBEDDING_WORD2VEC,8

Baby Jane Hudson,https://en.wikipedia.org/wiki/Baby_Jane_Hudson,WORDNET,9

Baby Jane Hudson,https://en.wikipedia.org/wiki/Baby_Jane_Hudson,NTH_LINK(1),22

Baby Jane Hudson,https://en.wikipedia.org/wiki/Baby_Jane_Hudson,EMBEDDING_WORD2VEC,7

Ian Wilson (composer),https://en.wikipedia.org/wiki/Ian_Wilson_(composer),WORDNET,9

Ian Wilson (composer),https://en.wikipedia.org/wiki/Ian_Wilson_(composer),NTH_LINK(1),16

Ian Wilson (composer),https://en.wikipedia.org/wiki/Ian_Wilson_(composer),EMBEDDING_WORD2VEC,9

Emelie Garbers,https://en.wikipedia.org/wiki/Emelie_Garbers,WORDNET,9

Emelie Garbers,https://en.wikipedia.org/wiki/Emelie_Garbers,NTH_LINK(1),10

Emelie Garbers,https://en.wikipedia.org/wiki/Emelie_Garbers,EMBEDDING_WORD2VEC,9

Just an Old Fashioned Love Song,https://en.wikipedia.org/wiki/Just_an_Old_Fashioned_Love_Song,WORDNET,12

Just an Old Fashioned Love Song,https://en.wikipedia.org/wiki/Just_an_Old_Fashioned_Love_Song,NTH_LINK(1),10

Just an Old Fashioned Love Song,https://en.wikipedia.org/wiki/Just_an_Old_Fashioned_Love_Song,EMBEDDING_WORD2VEC,12

Zhang Zhenshi,https://en.wikipedia.org/wiki/Zhang_Zhenshi,WORDNET,3

Zhang Zhenshi,https://en.wikipedia.org/wiki/Zhang_Zhenshi,NTH_LINK(1),3

Zhang Zhenshi,https://en.wikipedia.org/wiki/Zhang_Zhenshi,EMBEDDING_WORD2VEC,9

Bohemia in London,https://en.wikipedia.org/wiki/Bohemia_in_London,WORDNET,6

Bohemia in London,https://en.wikipedia.org/wiki/Bohemia_in_London,NTH_LINK(1),16

Bohemia in London,https://en.wikipedia.org/wiki/Bohemia_in_London,EMBEDDING_WORD2VEC,10

Church of Our Lady of Sarl�s,https://en.wikipedia.org/wiki/Church_of_Our_Lady_of_Sarl%C3%B3s,WORDNET,7

Church of Our Lady of Sarl�s,https://en.wikipedia.org/wiki/Church_of_Our_Lady_of_Sarl%C3%B3s,NTH_LINK(1),19

